rsi_buy,rsi_buy_exit,rsi_sell,rsi_sell_exit,long_trades,long_stoploss,long_only_profit,long_only_return,hedge_long_profit,hedge_short_profit,hedge_total_profit,hedge_total_return
35,40,75,60,125,7,8746.361161794048,2.2369210132465596,8746.361161794048,1043.0209201080106,9789.382081902058,1.8332176183337188
30,50,75,50,105,7,6120.54678691275,2.7446398147590805,6120.54678691275,-840.6043532761963,5279.942433636554,1.8144132074352417
40,50,80,55,109,10,8181.496925677384,2.12506413653958,8181.496925677384,1452.1083889864096,9633.605314663793,1.804045939075617
35,50,75,55,125,9,7915.345288973403,2.647272671897459,7915.345288973403,-1085.1595927065039,6830.185696266899,1.7269748915971932
35,45,75,60,129,8,7594.953235357967,2.280766737344735,7594.953235357967,-88.03194257484816,7506.921292783119,1.710004850292282
30,40,80,60,93,8,7654.653031782283,3.07415784408927,7654.653031782283,-1827.5593723334791,5827.093659448803,1.6601406437176076
35,45,75,55,122,9,7849.681872246335,2.3362148429304566,7849.681872246335,-443.1616692116586,7406.520203034676,1.6477241831000393
30,40,80,55,92,8,7658.7525215869955,3.075804225536946,7658.7525215869955,-1937.5498670472273,5721.202654539768,1.618444881057926
30,45,75,55,103,7,5419.462550522015,2.2487396475195083,5419.462550522015,-652.3077425295803,4767.154807992434,1.4623174257645504
30,50,80,50,89,9,5041.939032538706,2.3342310335827343,5041.939032538706,-841.9544941986328,4199.984538340073,1.4558005332201296
30,45,80,50,90,8,4221.309238895506,1.8039783072203015,4221.309238895506,96.80208443719542,4318.111323332701,1.349409788541469
40,50,80,50,104,11,4828.409971940075,1.2541324602441752,4828.409971940075,2202.6257377243933,7031.0357096644675,1.330375725575112
35,50,75,60,129,8,5847.312581147987,1.9556229368387916,5847.312581147987,-634.0500876676999,5213.262493480287,1.3214860566489954
30,35,80,60,95,9,7057.562955885774,2.425279366283771,7057.562955885774,-1626.7259530627923,5430.837002822981,1.2718587828625247
30,50,75,60,113,7,4422.028618240265,1.9829724745472042,4422.028618240265,-783.371072064477,3638.6575461757884,1.2700375379322124
40,45,80,55,109,10,8400.791066136486,1.8144257162281827,8400.791066136486,-301.9953221749847,8098.795743961501,1.2536835516968268
30,35,80,55,93,9,7330.3579870832855,2.519023363258861,7330.3579870832855,-2088.6655954013263,5241.69239168196,1.230444223399521
30,45,75,50,105,7,3969.5387218654214,1.6471115028487224,3969.5387218654214,-208.66804907509197,3760.8706727903295,1.150113355593373
40,45,80,60,113,10,7913.608433354212,1.7092026853896787,7913.608433354212,-753.8726644146329,7159.735768939579,1.1152236400217415
40,50,75,55,129,10,4998.643598995338,1.2686912687805427,4998.643598995338,800.4926891604475,5799.136288155785,1.0809200909889627
30,40,75,50,100,7,5309.637174931938,2.0740770214577884,5309.637174931938,-1712.347108494391,3597.2900664375466,1.0118959399261735
40,45,80,50,105,10,6270.5394883755625,1.354328183234463,6270.5394883755625,277.5273478059016,6548.066836181464,0.9997048604857197
30,40,75,55,103,7,5475.105352858091,2.198837491107667,5475.105352858091,-2053.010471827752,3422.0948810303385,0.989044763303566
