type,hedge_threshold,hedge_upgrade,hedge_ratio,hedge_profit,hedge_stop,long_trades,long_invested,long_profit,long_return,short_trades,short_invested,short_profit,short_return,total_profit,total_return
헷징,3,0,0.5,12,-15,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-1082.4099090354111,-1.4149149137717794,12942.727700435531,2.8105814767503867
헷징,2,0,0.5,12,-20,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-1449.6730515293475,-2.2651141430146056,12575.464557941594,2.8070233388262484
헷징,3,0,0.75,12,-10,105,384000,14025.137609470941,3.652379585799724,51,114750.0,-45.13154774864131,-0.03933032483541726,13980.0060617223,2.80300873417991
헷징,2,0,0.75,5,-12,105,384000,14025.137609470941,3.652379585799724,64,96000.0,-625.2499688710141,-0.6513020509073063,13399.887640599927,2.7916432584583184
헷징,2,5,1.0,5,-10,105,384000,14025.137609470941,3.652379585799724,82,294000.0,4886.464245945875,1.6620626686890732,18911.601855416815,2.789321807583601
헷징,2,0,0.75,12,-10,105,384000,14025.137609470941,3.652379585799724,64,96000.0,-640.9681485906365,-0.667675154781913,13384.169460880305,2.788368637683397
헷징,2,0,0.5,10,-15,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-1573.6587080697536,-2.4588417313589903,12451.478901401188,2.779347969062765
헷징,3,0,0.5,5,-12,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-1235.5879358069808,-1.6151476285058572,12789.54967366396,2.7773180615991224
헷징,2,0,0.5,8,-20,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-1622.0960610342322,-2.534525095365988,12403.04154843671,2.768536059918908
헷징,4,0,0.5,12,-12,105,384000,14025.137609470941,3.652379585799724,36,72000.0,-1472.9502038597411,-2.0457641720274182,12552.1874056112,2.7526726766691225
헷징,4,0,0.5,12,-15,105,384000,14025.137609470941,3.652379585799724,36,72000.0,-1537.4182472158259,-2.1353031211330915,12487.719362255115,2.7385349478629637
헷징,4,0,0.5,10,-10,105,384000,14025.137609470941,3.652379585799724,36,72000.0,-1537.708054951645,-2.135705631877285,12487.429554519296,2.7384713935349336
헷징,3,0,0.5,8,-15,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-1495.670346767852,-1.9551246362978458,12529.467262703089,2.7208397964610396
헷징,4,0,0.5,5,-12,105,384000,14025.137609470941,3.652379585799724,36,72000.0,-1643.0488369694003,-2.2820122735686112,12382.088772501542,2.7153703448468294
헷징,3,0,0.5,10,-15,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-1539.1793295039688,-2.0119991235345998,12485.958279966973,2.711391591740928
헷징,3,0,0.5,12,-20,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-1540.5348928004164,-2.013771101699891,12484.602716670524,2.711097224032687
헷징,2,0,0.5,10,-20,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-1889.673051529348,-2.9526141430146065,12135.464557941594,2.708809053111963
